Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1,Rookie_Year,Fetch_Date
52,Taelon Peter,"Oct 23, '25, IND vs. OKC",23,1,22,139,12,40,10,37,4,6,6,23,16,6,2,10,9,38,0.3,0.27,0.667,6.3,1.7,1.0,0.7,0.3,0.1,2026,2026-01-21
53,Drake Powell,"Oct 22, '25, BRK @ CHO",20,1,30,569,69,150,24,74,30,34,6,48,51,17,5,30,44,192,0.46,0.324,0.882,19.0,6.4,1.6,1.7,0.6,0.2,2026,2026-01-21
54,Tyrese Proctor,"Oct 22, '25, CLE @ NYK",21,1,30,323,50,136,27,85,19,23,5,37,38,10,0,16,33,146,0.368,0.318,0.826,10.8,4.9,1.2,1.3,0.3,0.0,2026,2026-01-21
55,Derik Queen,"Oct 22, '25, NOP @ MEM",21,1,44,1146,216,439,8,42,116,148,76,329,190,45,41,107,126,556,0.492,0.19,0.784,26.0,12.6,7.5,4.3,1.0,0.9,2026,2026-01-21
56,Maxime Raynaud,"Oct 22, '25, SAC @ PHO",22,1,36,842,155,283,9,29,43,61,66,236,41,16,18,35,92,362,0.548,0.31,0.705,23.4,10.1,6.6,1.1,0.4,0.5,2026,2026-01-21
57,Will Richard,"Oct 21, '25, GSW @ LAL",23,1,40,771,101,207,46,125,35,43,39,101,53,41,5,31,75,283,0.488,0.368,0.814,19.3,7.1,2.5,1.3,1.0,0.1,2026,2026-01-21
58,Jase Richardson,"Oct 25, '25, ORL vs. CHI",20,1,29,350,66,129,22,52,21,30,15,43,39,8,2,18,32,175,0.512,0.423,0.7,12.1,6.0,1.5,1.3,0.3,0.1,2026,2026-01-21
59,Will Riley,"Oct 22, '25, WAS @ MIL",19,1,34,468,63,154,13,56,34,41,25,67,39,14,4,27,24,173,0.409,0.232,0.829,13.8,5.1,2.0,1.1,0.4,0.1,2026,2026-01-21
60,Hunter Sallis,"Oct 27, '25, PHI vs. ORL",22,1,7,26,3,5,0,0,1,2,0,1,4,0,1,5,2,7,0.6,,0.5,3.7,1.0,0.1,0.6,0.0,0.1,2026,2026-01-21
61,Kobe Sanders,"Oct 22, '25, LAC @ UTA",23,1,35,720,83,191,34,91,32,37,16,82,52,22,4,45,75,232,0.435,0.374,0.865,20.6,6.6,2.3,1.5,0.6,0.1,2026,2026-01-21
62,Ben Saraf,"Oct 22, '25, BRK @ CHO",19,1,12,203,22,62,9,33,12,15,5,19,34,8,3,23,15,65,0.355,0.273,0.8,16.9,5.4,1.6,2.8,0.7,0.3,2026,2026-01-21
63,Mark Sears,"Oct 26, '25, MIL @ CLE",23,1,7,26,6,13,4,8,6,8,1,2,2,0,0,4,4,22,0.462,0.5,0.75,3.7,3.1,0.3,0.3,0.0,0.0,2026,2026-01-21
